x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11
1107 31 23 6 22.2 2.6 1 9 3 1.4 1.17
1116 34 6 2.5 6.6 1.3 1.8 3.9 1.2 1.5 0.67
1174 32 22 3.9 11.9 2.3 1.7 6.1 1.8 1.5 0.9
1131 30 6 4.7 15.3 1.5 1.5 6.5 1.4 1.3 2.32
1150 34 12 3.1 9.4 1.7 1.8 4.8 1.6 1.3 3.89
1132 22 18 7 37 2.5 1.5 9 2 1.5 6
1258 14 0 3.8 8.5 1 1.2 5.6 1 1 3.18
1114 26 9 3.4 9.6 1.6 1.6 5.1 1.5 1.3 0.9
1177 36 3 4 14.2 1.2 1.3 5.9 1.3 1.6 2.5
1146 26 18 4.3 17.9 2.3 1.6 7.7 2 1.4 2
1178 19 11 3 8 1.9 1.1 5.8 1.8 1.1 0.91
1149 28 1 7.2 33.7 1 2 7.3 1.3 1.2 1.64
1182 26 35 3.6 11.6 3.4 1.8 9.8 3 1.8 2.62
1092 36 23 4.9 12.5 2.4 1.8 10.1 2.2 1.8 1.07
1186 44 31 6.3 11.7 3.3 1.3 7.5 2.3 2 1.75
1163 45 29 5.6 15.9 3.1 1.4 9.2 2.7 1.8 0.23
1175 22 18 5.6 16.7 2.3 1.7 8.5 2.4 1.5 0.72
1209 22 11 4.5 14.6 1.6 1.7 6.9 2.1 1.7 0.4
1233 26 14 4.6 14.2 2 1.7 11.2 2.8 1.9 0.04
1165 32 22 4.2 12.4 2.8 1.8 9.1 2.7 1.6 0.2
1145 18 14 4.7 14 1.9 1.6 8.9 2.3 1.8 1.13
1245 43 13 5.5 20.6 1.9 1.5 8.7 2.3 1.9 0.06
1326 22 12 4 13.2 1.8 1.3 6.5 1.9 1.6 0.01
1228 39 27 4.5 12 3 2 9 2.5 1.8 1
1143 40 10 5.6 16.4 1.8 1.9 8.3 2.1 1.6 0.67
